toi,pl_rade,pl_orbper,pl_trandurh,pl_trandeplim
1135.01,9.06883,8.0277326,4.284,0
1136.01,5.58857,12.5187279,5.38,0
1136.02,2.51593,6.2586065,3.201,0
1136.03,2.71349,26.3208756,4.414,0
1136.04,2.1597669,18.795547,4.3425576,0
1137.01,34.7561624,1.3206356,1.6000996,0
1138.01,6.23181,0.64971,2.076,0
1139.01,11.3678,4.4780798,4.513,0
114.01,10.5135877,3.2887898,3.4367717,0
1140.01,12.05,13.7431084,2.285,0
1141.01,45.2204505,16.9487087,4.2887767,0
1142.01,42.2321,3.3686634,3.012,0
1143.01,17.4989,11.2071839,4.366,0
1144.01,5.29152,4.8878037,2.184,0
1146.01,6.1672487,0.660179,1.6349369,0
1147.01,49.1695,10.9278415,2.468,0
1148.01,15.8043,5.5514888,4.335,0
115.01,10.5505922,4.7423709,2.4988145,0
1150.01,20.3402421,1.4810903,4.1588291,0
1151.01,21.2912,3.4741012,3.317,0
1153.01,9.86763,6.0360758,1.255,0
1154.01,2.10208,21.745537,4.196,0
1157.01,35.7944,13.0727479,3.044,0
1158.01,24.4055,2.9258727,4.075,0
1159.01,5.28215,0.73774,0.636,0
116.01,11.9514993,2.7985802,2.3801043,0
1165.01,14.688,2.2552845,2.05,0
1166.01,8.29008,1.8824539,2.46,0
1167.01,4.96345,15.196,1.792,0
1168.01,23.6019,2.1358631,1.559,0
1169.01,17.4647,6.7075429,2.125,0
117.01,16.4747611,3.5862962,3.3710943,0
1170.01,29.3616,1.8296155,2.166,0
1171.01,31.8624,11.1876137,3.183,0
1173.01,9.39131,7.0643978,2.424,0
1174.01,2.35888,8.9534775,2.696,0
1175.01,5.55812,7.5022708,2.605,0
1176.01,12.4023108,14.0077666,5.8727493,0
1177.01,11.2371,1.692892,2.886,0
1178.01,2.35964,2.6652007,3.49,0
1179.01,8.67407,1.2615323,1.039,0
118.01,4.44029,6.0344667,1.89,0
1180.01,3.00336,9.6867516,2.512,0
1181.01,16.7087,2.1031647,5.059,0
1182.01,27.538,7.6416041,2.654,0
1183.01,10.8101,5.9294088,2.933,0
1184.01,2.35215,5.7484439,1.76,0
1185.01,10.3239,1.1967018,1.879,0
